Name,Tm,smiles,Cation,Anion,reference
"N-(2-hydroxyethyl)-N,N-dimethylbutanaminium bromide",385.1,CCCC[N+](C)(C)CCO.[Br-],CCCC[N+](C)(C)CCO,[Br-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-butyl-3-methylimidazolium chloride,342.95,CCCCn1cc[n+](C)c1.[Cl-],CCCCn1cc[n+](C)c1,[Cl-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
"1-hydroxy-3-(3,4,5-trimethyloxybenzyl)imidazolium bromide",463.15,COc1cc(C[n+]2ccn(O)c2)cc(OC)c1OC.[Br-],COc1cc(C[n+]2ccn(O)c2)cc(OC)c1OC,[Br-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
"1,3-dimethyl-4-methylimidazolium trifluoromethanesulfonate",308.15,Cc1cn(C)c[n+]1C.O=S(=O)([O-])C(F)(F)F,Cc1cn(C)c[n+]1C,O=S(=O)([O-])C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,255.1,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-ethyloxy-3-[2-(4-chlorophenyl)-2-oxoethyl]imidazolium bromide,403.15,CCOn1cc[n+](CC(=O)c2ccc(Cl)cc2)c1.[Br-],CCOn1cc[n+](CC(=O)c2ccc(Cl)cc2)c1,[Br-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-butyl-3-methylimidazolium tetraphenylborate,399.15,CCCCn1cc[n+](C)c1.c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCCCn1cc[n+](C)c1,c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
4-nonylpyridium chloride,392.6,CCCCCCCCCc1cc[nH+]cc1.[Cl-],CCCCCCCCCc1cc[nH+]cc1,[Cl-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-butyl-3-methylimidazolium tetrafluoroborate,198.0,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,"Molecules 2021, 26(9), 2454"
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,258.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
