"T","P",SMILES,co2,Cation,Anion
353.17,1123.0,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.1005,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F
333.23,18457.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.84,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
344.55,1900.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.2182,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
283.15,19.8,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0079,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,1393.0,CCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.2563,CCCCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
298.17,4290.0,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,0.492,CCCC[n+]1ccn(C)c1,O=C([O-])C(F)(F)F
298.2,1940.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.572,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
283.15,250.0,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,0.0561,CCCC[n+]1ccn(C)c1C,F[B-](F)(F)F
283.15,2.2,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.00016,CC[n+]1ccn(C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.65,48.5,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.00767,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
343.2,22500.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.733,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,1599.0,CCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.284,CCCCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.1,999.7,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.161,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
298.15,492.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1426,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.1,100.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.0,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
313.15,899.9,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.197,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,8670.0,CCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.77,CCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
303.09,1050.0,CCCC[n+]1ccc(C)cc1.N#C[C-](C#N)C#N,0.269,CCCC[n+]1ccc(C)cc1,N#C[C-](C#N)C#N
318.15,4950.0,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.576,CCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
308.15,1593.0,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.2093,CC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
390.67,1098.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0847,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
338.0,12.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
317.45,2400.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1.16,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
313.9,7250.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.777,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
353.25,1393.0,CCCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.1271,CCCCCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
283.8,699.6,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.167,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
313.19,1620.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.201,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
308.2,5100.0,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.599,CCCCCC[n+]1ccn(C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.85,6000.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7435,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.15,2463.9,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.7822,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
413.15,4419.0,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.2127,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
353.22,42030.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.771,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.08,81200.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.727,CCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
343.15,3070.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCCCCOS(=O)(=O)c1ccccc1,0.4064,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCCCCCCCCOS(=O)(=O)c1ccccc1
318.2,890.0,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.055,CC[n+]1ccn(C)c1,CCOS(=O)(=O)[O-]
313.21,18747.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.85,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,70.8,CC(N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1.243,CCCC[n+]1ccn(C)c1,CC(N)C(=O)[O-]
298.16,1200.0,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.332,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
334.35,29200.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7388,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
343.28,1650.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,0.242,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,N#C[N-]C#N
313.15,2830.0,CC(=O)[O-].CC[n+]1ccn(C)c1,0.451,CC[n+]1ccn(C)c1,CC(=O)[O-]
328.14,1690.0,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,0.265,CCCC[N+]1(C)CCCC1,N#C[C-](C#N)C#N
313.15,2070.0,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3827,CCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.15,150.0,C=C[n+]1ccn(CCCC)c1.N=C(N)NCCCC(N)C(=O)[O-],0.285,C=C[n+]1ccn(CCCC)c1,N=C(N)NCCCC(N)C(=O)[O-]
303.17,1299.9,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.319,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,650.0,CCCC[n+]1ccn(C)c1C.F[P-](F)(F)(F)(F)F,0.0651,CCCC[n+]1ccn(C)c1C,F[P-](F)(F)(F)(F)F
298.1,1299.7,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.376,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
298.16,696.0,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.218,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.23,3316.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.404,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
373.2,7200.0,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)C(F)F,0.305,Cn1cc[n+](Cc2ccccc2)c1,O=S(=O)([O-])C(F)(F)C(F)F
283.1,949.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.205,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
323.2,9300.0,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.F[B-](F)(F)F,0.752,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC,F[B-](F)(F)F
343.15,1462.8,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.574,CC[n+]1ccn(C)c1,F[B-](F)(F)F
323.15,194.0,CCCC[n+]1ccn(C)c1.N#CC(C#N)C#N,0.0245,CCCC[n+]1ccn(C)c1,N#CC(C#N)C#N
318.13,2130.0,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,0.323,CCCC[N+]1(C)CCCC1,N#C[C-](C#N)C#N
334.35,12700.0,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,0.5435,CCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F
303.15,636.2,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2019,CCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.18,6260.0,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,0.815,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C
323.15,1099.9,C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)([O-])O,0.041,C[n+]1ccn(CCCCS(=O)(=O)O)c1,O=S(=O)([O-])O
295.55,1580.0,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.397,CCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
302.45,9700.0,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],0.4974,CCCC[n+]1ccn(C)c1,CS(=O)(=O)[O-]
313.15,94.28,CN1CCCC1=O.O=C([O-])C(F)(F)F,0.01656,O=C([O-])C(F)(F)F,O=C([O-])C(F)(F)F
333.15,450.0,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],0.194,CCCCCCCCn1cc[n+](C)c1,O=[N+]([O-])[O-]
333.15,3726.0,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1.481,CCCCCC[n+]1ccn(C)c1,O=[N+]([O-])[O-]
313.15,5670.0,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],0.397,CCCC[n+]1ccn(C)c1,O=[N+]([O-])[O-]
314.9,6500.0,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.6338,CCCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
338.15,6006.0,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.536,CCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,1370.0,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.261,CCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
298.15,993.0,CCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,0.1939,CCCCCCn1cc[n+](C)c1,N#C[C-](C#N)C#N
332.0,2970.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.389,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,1064.0,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.166,Cn1cc[n+](CCO)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
332.8,2780.0,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,0.2479,CCCC[N+]1(C)CCCC1,N#C[N-]C#N
333.15,2395.5,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.244,COC[N+]1(C)CCCC1,O=S(=O)(F)[N-]S(=O)(=O)F
297.7,4485.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.65,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,5440.0,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.453,CCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
335.64,2030.0,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.066,CCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
343.15,2108.7,CC(=O)[O-].CCCC[n+]1ccn(C)c1,0.351,CCCC[n+]1ccn(C)c1,CC(=O)[O-]
303.33,1880.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.25,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
313.15,3965.6,COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.44,COC[N+]1(C)CCCC1,O=S(=O)(F)[N-]S(=O)(=O)F
323.15,4000.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCCCCOS(=O)(=O)c1ccccc1,0.5513,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCCCCCCCCOS(=O)(=O)c1ccccc1
313.15,3650.0,CCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5907,CCCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
293.15,250.0,C=C[n+]1ccn(CCCC)c1.NC(Cc1c[nH]cn1)C(=O)[O-],0.439,C=C[n+]1ccn(CCCC)c1,NC(Cc1c[nH]cn1)C(=O)[O-]
338.0,3995.8,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.3941,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
278.18,3950.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,0.758,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,N#C[N-]C#N
303.15,490.0,CCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3297,CCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
363.2,5800.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.493,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
343.15,297.2,C[n+]1ccn(CCO)c1.O=S(=O)([O-])C(F)(F)F,0.034,C[n+]1ccn(CCO)c1,O=S(=O)([O-])C(F)(F)F
353.2,2310.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.311,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
298.15,3794.1,CCCCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.605,CCCCCCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.1,5030.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.548,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
313.15,1480.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.43,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
343.2,8270.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.571,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
343.15,138.1,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0326,CCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
343.2,2030.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.311,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
323.15,4.81,CCCCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.001,CCCCCC[n+]1cccc(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.15,700.0,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.069,CC[n+]1ccn(C)c1,CCOS(=O)(=O)[O-]
303.85,4630.0,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.6642,CCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,8020.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.682,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
303.19,10812.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.749,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,99.4,C=C[n+]1ccn(CCCC)c1.NCCCCC(N)C(=O)[O-],0.159,C=C[n+]1ccn(CCCC)c1,NCCCCC(N)C(=O)[O-]
374.7,5830.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1.221,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
333.15,203.0,COCCOCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0313,COCCOCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,784.0,COCCOCCOCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.19,COCCOCCOCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,2060.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.97,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
373.2,17650.0,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)C(F)F,0.473,Cn1cc[n+](Cc2ccccc2)c1,O=S(=O)([O-])C(F)(F)C(F)F
313.21,18550.0,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,0.601,CCCC[n+]1ccn(C)c1,O=C([O-])C(F)(F)F
323.24,1240.0,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO.C[NH3+],0.045,C[N+](CCO)(CCO)CCO,COS(=O)(=O)[O-]
363.15,3180.0,CC(=O)[O-].CC[n+]1ccn(C)c1,0.357,CC[n+]1ccn(C)c1,CC(=O)[O-]
373.15,11100.0,CCCCCC[n+]1ccn(C)c1.N#C[S-],0.36,CCCCCC[n+]1ccn(C)c1,N#C[S-]
333.39,2440.0,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,0.479,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C
303.2,3860.0,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,0.39,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)C(F)F
333.15,1836.9,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCC[n+]1ccccc1,0.202,OCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.2,50.0,CC[n+]1ccn(C)c1.N#C[N-]C#N,0.007,CC[n+]1ccn(C)c1,N#C[N-]C#N
323.15,250.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0431,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,1093.0,CCCCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,0.2239,CCCCCCCCn1cc[n+](C)c1,N#C[C-](C#N)C#N
303.2,6050.0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.c1ccc(C[n+]2ccccc2)cc1,0.646,c1ccc(C[n+]2ccccc2)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
338.15,600.0,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.095,CCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,990.0,CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],0.552,CCCCCCCCn1cc[n+](C)c1,O=[N+]([O-])[O-]
313.15,414.0,CCCC[n+]1ccccc1.N#C[N-]C#N,0.047,CCCC[n+]1ccccc1,N#C[N-]C#N
363.15,3410.0,CCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,0.311,CCCCCCn1cc[n+](C)c1,N#C[C-](C#N)C#N
303.15,4930.0,COCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,2.667,COCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
298.15,1123.1,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.255,CCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.3,5525.0,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.566,CCCCCC[n+]1ccn(C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
345.64,9112.0,CCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],0.2997,CCCCn1cc[n+](C)c1,O=[N+]([O-])[O-]
367.96,8050.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.3035,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
333.15,444.0,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,0.026,Cn1cc[n+](CCO)c1,F[B-](F)(F)F
333.2,11300.0,CC[NH+]1C=CN(C)C1.O=S(=O)([O-])C(F)(F)C(F)F,0.481,CC[NH+]1C=CN(C)C1,O=S(=O)([O-])C(F)(F)C(F)F
