"T","P",SMILES,co2,Cation,Anion
313.2,1500.0,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.115,CC[n+]1ccn(C)c1,F[B-](F)(F)F
342.79,68200.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.702,CCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
298.2,100.4,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.019,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
323.15,199.8,C[NH+]1C=CN(CCCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.031,C[NH+]1C=CN(CCCO)C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.3,49990.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.801,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
373.15,4620.0,CC[n+]1ccn(C)c1.N#C[N-]C#N,0.242,CC[n+]1ccn(C)c1,N#C[N-]C#N
333.25,6060.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.404,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
324.15,3900.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.414,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
298.2,700.0,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,0.051,Cn1cc[n+](C)c1,COS(=O)(=O)[O-]
343.15,4363.0,COCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1.2517,COCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
323.15,7030.0,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.328,CC[n+]1ccn(C)c1,CCOS(=O)(=O)[O-]
323.15,1793.0,CCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.2114,CCCCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
303.2,480.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.124,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
323.2,2300.0,CCCCCCCC[NH+]1C=CN(C)C1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.113,CCCCCCCC[NH+]1C=CN(C)C1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
