T,P,vis,SMILES,Cation,Anion
358.0,101.325,-4.914416436,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
363.0,101.325,-4.629462879,CCC[NH+](CC)CC.O=S(=O)([O-])C(F)(F)F,CCC[NH+](CC)CC,O=S(=O)([O-])C(F)(F)F
288.15,101.3,-1.161552088,CCCC[n+]1ccccc1.F[B-](F)(F)F,CCCC[n+]1ccccc1,F[B-](F)(F)F
293.0,101.325,-1.283737773,CCC#N.CCCC[n+]1cc[nH]c1.N#CNC#N,CCCC[n+]1cc[nH]c1,CCCC[n+]1cc[nH]c1
293.15,100.0,-4.050710525,CCn1cc[n+](C)c1.N#CN=C=[N-],CCn1cc[n+](C)c1,N#CN=C=[N-]
303.15,100.0,-2.503478035,CCC[n+]1ccccc1.F[B-](F)(F)F,CCC[n+]1ccccc1,F[B-](F)(F)F
313.15,21710.0,-1.857899272,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
348.15,12700.0,-3.618048273,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,CCCCCCn1cc[n+](C)c1,F[B-](F)(F)F
353.15,101.325,-2.1086644,CCCCCCCCn1cc[n+](CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,CCCCCCCCn1cc[n+](CCC#N)c1,O=C([O-])c1cccc(S(=O)(=O)O)c1
318.15,101.325,-1.487662856,CCCCCC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO,CCCCCC(=O)[O-]
372.89,100.0,-4.753670194,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCn1cc[n+](C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
313.15,101.0,-4.708310945,CC[NH+]1C=CN(C)C1.N#CC(=C=[N-])C#N,CC[NH+]1C=CN(C)C1,N#CC(=C=[N-])C#N
338.79,101.325,-2.569158202,CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
303.0,101.325,-3.328551192,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
399.7,101.325,-4.346659491,CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
383.1,101.325,-5.005647753,C=CC[NH+](CC)CC.O=S(=O)([O-])C(F)(F)F,C=CC[NH+](CC)CC,O=S(=O)([O-])C(F)(F)F
318.13,101.325,-2.362335097,CCCCCCP(=O)(OCC)OCC.CCCCCC[N+]1(C)CCCC1,CCCCCC[N+]1(C)CCCC1,CCCCCC[N+]1(C)CCCC1
328.15,101.325,-3.126410597,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.1,101.325,-2.693260116,CCCCn1cc[n+](C)c1.COP(=O)(O)OC,CCCCn1cc[n+](C)c1,COP(=O)(O)OC
393.15,20000.0,-5.132802928,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,101.0,0.599385801,CCOS(=O)(=O)O.CC[N+]1(C)CCCCC1,CC[N+]1(C)CCCCC1,CC[N+]1(C)CCCCC1
313.0,101.325,-2.551046452,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,CCCC[n+]1cccc(C)c1,F[B-](F)(F)F
323.15,120800.0,-2.458069996,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
383.15,101.325,-4.185144927,CCCCn1cc[n+](C)c1.[I-],CCCCn1cc[n+](C)c1,[I-]
313.15,101.325,-3.894674367,CCCC[n+]1ccccc1.N#CNC#N,CCCC[n+]1ccccc1,N#CNC#N
303.15,96.7,-2.271086426,CC(=O)[O-].CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,CC(=O)[O-]
358.15,101.325,-5.248258103,CCCCn1cc[n+](C)c1.N#CC(C#N)C#N,CCCCn1cc[n+](C)c1,N#CC(C#N)C#N
313.15,50010.0,-2.154165088,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,CCCC[n+]1ccccc1,O=S(=O)([O-])C(F)(F)F
340.78,100.0,-4.042131691,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCn1cc[n+](C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
308.15,101.325,-1.078809661,CCCCCC[n+]1ccc(C#N)cc1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[n+]1ccc(C#N)cc1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
473.0,101.325,-6.250235276,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
